Date,Open,High,Low,Close
09/18/2020,"3,363.56","3,428.92","3,292.40","3,319.47"
09/11/2020,"3,371.88","3,425.55","3,310.47","3,340.97"
09/04/2020,"3,509.73","3,588.11","3,349.63","3,426.96"
08/28/2020,"3,418.09","3,509.23","3,413.13","3,508.01"
08/21/2020,"3,380.86","3,399.96","3,354.69","3,397.16"
08/14/2020,"3,356.04","3,387.89","3,326.44","3,372.85"
08/07/2020,"3,288.26","3,352.54","3,284.53","3,351.28"
07/31/2020,"3,219.84","3,272.17","3,204.13","3,271.12"
07/24/2020,"3,224.29","3,279.99","3,200.05","3,215.63"
07/17/2020,"3,205.08","3,238.28","3,127.66","3,224.73"
07/10/2020,"3,155.29","3,186.82","3,115.70","3,185.04"
07/02/2020,"3,018.59","3,165.81","2,999.74","3,130.01"
06/26/2020,"3,094.42","3,154.90","3,004.63","3,009.05"
06/19/2020,"2,993.76","3,155.53","2,965.66","3,097.74"
06/12/2020,"3,199.92","3,233.13","2,984.47","3,041.31"
06/05/2020,"3,038.78","3,211.72","3,031.54","3,193.93"
05/29/2020,"3,004.08","3,068.67","2,969.75","3,044.31"
05/22/2020,"2,913.86","2,980.29","2,913.86","2,955.45"
05/15/2020,"2,794.54","2,865.01","2,766.64","2,863.70"
05/08/2020,"2,815.01","2,932.16","2,797.85","2,929.80"
05/01/2020,"2,854.65","2,954.86","2,821.61","2,830.71"
04/24/2020,"2,845.62","2,868.98","2,727.10","2,836.74"
04/17/2020,"2,782.46","2,879.22","2,721.17","2,874.56"
04/09/2020,"2,578.28","2,818.57","2,574.57","2,789.82"
04/03/2020,"2,558.98","2,641.39","2,447.49","2,488.65"
03/27/2020,"2,290.71","2,637.01","2,191.86","2,541.47"
03/20/2020,"2,508.59","2,562.98","2,280.52","2,304.92"
03/13/2020,"2,863.89","2,882.59","2,478.86","2,711.02"
03/06/2020,"2,974.28","3,136.72","2,901.54","2,972.37"
02/28/2020,"3,257.61","3,259.81","2,855.84","2,954.22"
02/21/2020,"3,369.04","3,393.52","3,328.45","3,337.75"
02/14/2020,"3,318.28","3,385.09","3,317.77","3,380.16"
02/07/2020,"3,235.66","3,347.96","3,235.66","3,327.71"
01/31/2020,"3,247.16","3,293.47","3,214.68","3,225.52"
01/24/2020,"3,321.03","3,337.77","3,281.53","3,295.47"
01/17/2020,"3,271.13","3,329.88","3,268.43","3,329.62"
01/10/2020,"3,217.55","3,282.99","3,214.64","3,265.35"
01/03/2020,"3,240.09","3,258.14","3,212.03","3,234.85"
12/27/2019,"3,226.05","3,247.93","3,220.51","3,240.02"
12/20/2019,"3,183.63","3,225.65","3,183.63","3,221.22"
12/13/2019,"3,141.86","3,182.68","3,126.09","3,168.80"
12/06/2019,"3,143.85","3,150.60","3,070.33","3,145.91"
11/29/2019,"3,117.44","3,154.26","3,117.44","3,140.98"
11/22/2019,"3,117.91","3,127.64","3,091.41","3,110.29"
11/15/2019,"3,080.33","3,120.46","3,075.82","3,120.46"
11/08/2019,"3,078.96","3,097.77","3,065.89","3,093.08"
11/01/2019,"3,032.12","3,066.95","3,023.19","3,066.91"
10/25/2019,"2,996.48","3,027.39","2,991.21","3,022.55"
10/18/2019,"2,965.81","3,008.29","2,962.94","2,986.20"
10/11/2019,"2,944.23","2,993.28","2,892.66","2,970.27"
10/04/2019,"2,967.07","2,992.53","2,855.94","2,952.01"
09/27/2019,"2,983.50","3,007.98","2,945.53","2,961.79"
09/20/2019,"2,996.41","3,021.99","2,978.57","2,992.07"
09/13/2019,"2,988.43","3,020.74","2,957.01","3,007.39"
09/06/2019,"2,909.01","2,985.86","2,891.85","2,978.71"
08/30/2019,"2,866.70","2,940.43","2,853.05","2,926.46"
08/23/2019,"2,913.48","2,939.08","2,834.97","2,847.11"
08/16/2019,"2,907.07","2,943.31","2,825.51","2,888.68"
08/09/2019,"2,898.07","2,938.72","2,822.12","2,918.65"
08/02/2019,"3,024.47","3,025.61","2,914.11","2,932.05"
07/26/2019,"2,981.93","3,027.98","2,976.65","3,025.86"
07/19/2019,"3,017.80","3,017.80","2,973.09","2,976.61"
07/12/2019,"2,979.77","3,013.92","2,963.44","3,013.77"
07/05/2019,"2,971.41","2,995.84","2,952.22","2,990.41"
06/28/2019,"2,951.42","2,954.92","2,912.99","2,941.76"
06/21/2019,"2,889.75","2,964.15","2,887.30","2,950.46"
06/14/2019,"2,885.83","2,910.61","2,874.68","2,886.98"
06/07/2019,"2,751.53","2,884.97","2,728.81","2,873.34"
05/31/2019,"2,830.03","2,840.51","2,750.52","2,752.06"
05/24/2019,"2,841.94","2,868.88","2,805.49","2,826.06"
